"gene"	"p_value"	"estimate"	"BH"
"314"	"TGIF1"	1	0	1
"315"	"POLRMT"	0.0888888888888888	Inf	0.633828160143949
"316"	"PLPPR3"	0.0888888888888888	Inf	0.633828160143949
"317"	"DOT1L"	1	0	1
"318"	"OR7G1"	0.0888888888888888	Inf	0.633828160143949
"319"	"KLF1"	0.170786516853933	10.8909548109933	0.827504134275072
"320"	"GGN"	1	0	1
"321"	"NT5C1B"	1	0	1
"322"	"C2orf81"	1	0	1
"323"	"TTC31"	1	0	1
"324"	"TEKT4"	1	0	1
"325"	"RNF149"	1	0	1
"326"	"SP5"	1	0	1
"327"	"ALPPL2"	1	0	1
"328"	"FASTKD5"	0.379162902098847	2.74050267948522	1
"329"	"MROH8"	1	0	1
"330"	"CLIC6"	1	0	1
"331"	"KRTAP10-7"	1	0	1
"332"	"MRPL40"	1	0	1
"333"	"LRIG1"	0.0888888888888888	Inf	0.633828160143949
"334"	"DOK7"	1	0	1
"335"	"CXCL3"	1	0	1
"336"	"RAPGEF2"	1	0	1
"337"	"PDLIM3"	0.0888888888888888	Inf	0.633828160143949
"338"	"ADAMTS6"	1	0	1
"339"	"PCDHB10"	0.0888888888888888	Inf	0.633828160143949
"340"	"HK3"	0.170786516853933	10.8909548109933	0.827504134275072
"341"	"HLA-B"	0.170786516853933	10.8909548109933	0.827504134275072
"342"	"SLC35B2"	1	0	1
"343"	"LAMA4"	0.0200204290091931	24.56021585398	0.633828160143949
"344"	"MAP7"	0.315487302314114	3.67391382113383	1
"345"	"GRM1"	1	0	1
"346"	"USP42"	0.0200204290091931	24.56021585398	0.633828160143949
"347"	"SDR16C5"	1	0	1
"348"	"BHLHE22"	1	0	1
"349"	"DMRT1"	1	0	1
"350"	"OMD"	1	0	1
"351"	"NUP214"	0.246169560776302	5.5131938040198	1
"352"	"NAP1L2"	1	0	1
"353"	"EIF3J"	1	0	1
"354"	"C21orf58"	1	0	1
"355"	"TTLL10"	1	0	1
"356"	"MXRA8"	1	0	1
"357"	"CCNL2"	1	0	1
"358"	"MMEL1"	1	0	1
"359"	"TP73"	0.315487302314114	3.67391382113383	1
"360"	"CCDC27"	1	0	1
"361"	"CAMTA1"	1	0	1
"362"	"PER3"	0.170786516853933	10.8909548109933	0.827504134275072
"363"	"PRAMEF11"	0.0888888888888888	Inf	0.633828160143949
"364"	"PRAMEF2"	0.0888888888888888	Inf	0.633828160143949
"365"	"PRAMEF10"	0.0888888888888888	Inf	0.633828160143949
"366"	"CROCC"	1	0	1
"367"	"PAX7"	0.0888888888888888	Inf	0.633828160143949
"368"	"PLA2G5"	0.0888888888888888	Inf	0.633828160143949
"369"	"VWA5B1"	1	0	1
"370"	"CNKSR1"	1	0	1
"371"	"MECR"	1	0	1
"372"	"PTPRU"	0.0888888888888888	Inf	0.633828160143949
"373"	"PUM1"	0.170786516853933	10.8909548109933	0.827504134275072
"374"	"LCK"	0.0888888888888888	Inf	0.633828160143949
"375"	"HMGB4"	1	0	1
"376"	"C1orf94"	1	0	1
"377"	"RSPO1"	1	0	1
"378"	"MACF1"	0.170786516853933	10.8909548109933	0.827504134275072
"379"	"HIVEP3"	0.585060476217385	1.31695027245043	1
"380"	"TCTEX1D4"	1	0	1
"381"	"ELAVL4"	1	0	1
"382"	"ZFYVE9"	1	0	1
"383"	"WDR78"	1	0	1
"384"	"LRRC7"	0.170786516853933	10.8909548109933	0.827504134275072
"385"	"SRSF11"	1	0	1
"386"	"LRRIQ3"	0.0888888888888888	Inf	0.633828160143949
"387"	"ASB17"	1	0	1
"388"	"ST6GALNAC3"	1	0	1
"389"	"AK5"	0.0607849031751792	8.3592487907847	0.633828160143949
"390"	"LPHN2"	0.0888888888888888	Inf	0.633828160143949
"391"	"PRKACB"	0.0888888888888888	Inf	0.633828160143949
"392"	"ODF2L"	1	0	1
"393"	"GBP4"	1	0	1
"394"	"ZNF644"	1	0	1
"395"	"TGFBR3"	1	0	1
"396"	"BTBD8"	1	0	1
"397"	"SNX7"	0.0888888888888888	Inf	0.633828160143949
"398"	"PLPPR4"	0.0888888888888888	Inf	0.633828160143949
"399"	"SASS6"	1	0	1
"400"	"TRMT13"	1	0	1
"401"	"CDC14A"	1	0	1
"402"	"NTNG1"	1	0	1
"403"	"VAV3"	1	0	1
"404"	"FAM102B"	1	0	1
"405"	"PRPF38B"	0.0888888888888888	Inf	0.633828160143949
"406"	"AMIGO1"	1	0	1
"407"	"GPR61"	1	0	1
"408"	"GNAT2"	1	0	1
"409"	"FAM19A3"	1	0	1
"410"	"ZNF697"	1	0	1
"411"	"PDE4DIP"	0.0888888888888888	Inf	0.633828160143949
"412"	"NBPF10"	1	0	1
"413"	"ITGA10"	1	0	1
"414"	"GJA8"	1	0	1
"415"	"PSMD4"	0.0888888888888888	Inf	0.633828160143949
"416"	"POGZ"	0.0888888888888888	Inf	0.633828160143949
"417"	"RPTN"	1	0	1
"418"	"HRNR"	1	0	1
"419"	"FLG"	1	0	1
"420"	"FLG2"	1	0	1
"421"	"SPRR2D"	1	0	1
"422"	"LOR"	0.170786516853933	10.8909548109933	0.827504134275072
"423"	"PGLYRP4"	0.170786516853933	10.8909548109933	0.827504134275072
"424"	"MEX3A"	1	0	1
"425"	"TMEM79"	1	0	1
"426"	"CD5L"	1	0	1
"427"	"OR10T2"	0.246169560776302	5.5131938040198	1
"428"	"OR10X1"	1	0	1
"429"	"SPTA1"	1	0	1
"430"	"OR6K2"	0.0888888888888888	Inf	0.633828160143949
"431"	"OR6N1"	0.0888888888888888	Inf	0.633828160143949
"432"	"CADM3"	1	0	1
"433"	"FCER1A"	1	0	1
"434"	"APCS"	1	0	1
"435"	"FCRL6"	1	0	1
"436"	"SLAMF9"	1	0	1
"437"	"IGSF8"	0.315487302314114	3.67391382113383	1
"438"	"ITLN2"	1	0	1
"439"	"F11R"	1	0	1
"440"	"HSPA6"	1	0	1
"441"	"OLFML2B"	1	0	1
"442"	"NOS1AP"	1	0	1
"443"	"C1orf111"	1	0	1
"444"	"HSD17B7"	1	0	1
"445"	"LRRC52"	0.0888888888888888	Inf	0.633828160143949
"446"	"FAM78B"	1	0	1
"447"	"POGK"	0.0888888888888888	Inf	0.633828160143949
"448"	"ILDR2"	1	0	1
"449"	"MAEL"	1	0	1
"450"	"DUSP27"	1	0	1
"451"	"CD247"	1	0	1
"452"	"RCSD1"	1	0	1
"453"	"XCL1"	0.0888888888888888	Inf	0.633828160143949
"454"	"KIFAP3"	0.170786516853933	10.8909548109933	0.827504134275072
"455"	"PRRX1"	0.0888888888888888	Inf	0.633828160143949
"456"	"TNN"	1	0	1
"457"	"TNR"	1	0	1
"458"	"ASTN1"	0.246169560776302	5.5131938040198	1
"459"	"TDRD5"	1	0	1
"460"	"CACNA1E"	1	0	1
"461"	"ZNF648"	1	0	1
"462"	"RGSL1"	1	0	1
"463"	"LAMC2"	0.170786516853933	10.8909548109933	0.827504134275072
"464"	"COLGALT2"	1	0	1
"465"	"TRMT1L"	1	0	1
"466"	"PLA2G4A"	0.0888888888888888	Inf	0.633828160143949
"467"	"BRINP3"	1	0	1
"468"	"RGS18"	1	0	1
"469"	"RGS1"	1	0	1
"470"	"CFHR3"	1	0	1
"471"	"CFHR2"	0.170786516853933	10.8909548109933	0.827504134275072
"472"	"CFHR5"	1	0	1
"473"	"KIF21B"	0.170786516853933	10.8909548109933	0.827504134275072
"474"	"CACNA1S"	1	0	1
"475"	"IGFN1"	0.147841316743379	4.11745947444448	0.827504134275072
"476"	"KDM5B"	1	0	1
"477"	"ADIPOR1"	1	1.10402016999393	1
"478"	"PPFIA4"	0.0888888888888888	Inf	0.633828160143949
"479"	"BTG2"	0.246169560776302	5.5131938040198	1
"480"	"LAX1"	0.0888888888888888	Inf	0.633828160143949
"481"	"ZC3H11A"	1	0	1
"482"	"CNTN2"	1	0	1
"483"	"RASSF5"	1	0	1
"484"	"FAIM3"	1	0	1
"485"	"PLXNA2"	0.0888888888888888	Inf	0.633828160143949
"486"	"LAMB3"	0.0888888888888888	Inf	0.633828160143949
"487"	"TRAF3IP3"	1	0	1
"488"	"IRF6"	0.491157045249643	1.794922601213	1
"489"	"KCNH1"	1	0	1
"490"	"INTS7"	1	0	1
"491"	"KCNK2"	1	0	1
"492"	"EPRS"	1	0	1
"493"	"BPNT1"	0.0200204290091931	24.56021585398	0.633828160143949
"494"	"HHIPL2"	1	0	1
"495"	"CDC42BPA"	0.246169560776302	5.5131938040198	1
"496"	"PRSS38"	0.170786516853933	10.8909548109933	0.827504134275072
"497"	"OBSCN"	1	0	1
"498"	"PGBD5"	0.0888888888888888	Inf	0.633828160143949
"499"	"DISC1"	1	0	1
"500"	"LYST"	1	0	1
"501"	"NID1"	0.170786516853933	10.8909548109933	0.827504134275072
"502"	"ACTN2"	0.437594628960132	2.17474154402267	1
"503"	"RYR2"	1	0	1
"504"	"ZP4"	0.0888888888888888	Inf	0.633828160143949
"505"	"FMN2"	1	0	1
"506"	"KMO"	1	0	1
"507"	"CEP170"	1	0	1
"508"	"KIF26B"	0.170786516853933	10.8909548109933	0.827504134275072
"509"	"OR2C3"	1	0	1
"510"	"OR2G3"	1	0	1
"511"	"OR11L1"	1	0	1
"512"	"TRIM58"	1	0	1
"513"	"OR2L8"	1	0	1
"514"	"OR2L5"	1	0	1
"515"	"OR2L2"	1	0	1
"516"	"OR2L3"	1	0	1
"517"	"OR2L13"	1	0	1
"518"	"OR2M5"	1	0	1
"519"	"OR2M2"	1	0	1
"520"	"OR2M3"	1	0	1
"521"	"OR2T12"	1	0	1
"522"	"OR2T6"	1	0	1
"523"	"OR2T1"	1	0	1
"524"	"OR2T2"	1	0	1
"525"	"OR2T10"	1	0	1
"526"	"OR2T11"	0.170786516853933	10.8909548109933	0.827504134275072
"527"	"AKR1C4"	1	0	1
"528"	"PRKCQ"	0.0888888888888888	Inf	0.633828160143949
"529"	"ITIH5"	1	0	1
"530"	"ITIH2"	1	0	1
"531"	"UPF2"	1	0	1
"532"	"UCMA"	1	0	1
"533"	"CUBN"	1	0	1
"534"	"VIM"	1	0	1
"535"	"PTPLA"	0.0888888888888888	Inf	0.633828160143949
"536"	"MRC1"	0.170786516853933	10.8909548109933	0.827504134275072
"537"	"SLC39A12"	1	0	1
"538"	"MSRB2"	1	0	1
"539"	"GPR158"	1	0	1
"540"	"MYO3A"	1	0	1
"541"	"ZEB1"	1	0	1
"542"	"ANKRD30A"	1	0	1
"543"	"ZNF33A"	1	0	1
"544"	"RET"	1	0	1
"545"	"RASGEF1A"	1	0	1
"546"	"NPY4R"	1	0	1
"547"	"WDFY4"	0.0200204290091931	24.56021585398	0.633828160143949
"548"	"FAM170B"	1	0	1
"549"	"C10orf71"	0.0200204290091931	24.56021585398	0.633828160143949
"550"	"SLC18A3"	1	0	1
"551"	"CHAT"	0.170786516853933	10.8909548109933	0.827504134275072
"552"	"PARG"	0.0888888888888888	Inf	0.633828160143949
"553"	"FAM13C"	1	0	1
"554"	"ANK3"	0.437594628960132	2.17474154402267	1
"555"	"STOX1"	1	0	1
"556"	"CDH23"	1	0	1
"557"	"CHST3"	1	0	1
"558"	"PPP3CB"	0.0888888888888888	Inf	0.633828160143949
"559"	"DUSP13"	1	0	1
"560"	"RPS24"	1	0	1
"561"	"CDHR1"	1	0	1
"562"	"BMPR1A"	1	0	1
"563"	"IDE"	1	0	1
"564"	"PIPSL"	0.0888888888888888	Inf	0.633828160143949
"565"	"ALDH18A1"	1	0	1
"566"	"PIK3AP1"	0.170786516853933	10.8909548109933	0.827504134275072
"567"	"SLIT1"	1	0	1
"568"	"PYROXD2"	0.0888888888888888	Inf	0.633828160143949
"569"	"C10orf95"	1	0	1
"570"	"INA"	1	0	1
"571"	"CALHM3"	1	0	1
"572"	"SORCS3"	1	0	1
"573"	"RBM20"	1	0	1
"574"	"TDRD1"	1	0	1
"575"	"ABLIM1"	1	0	1
"576"	"GFRA1"	1	0	1
"577"	"PNLIP"	0.0888888888888888	Inf	0.633828160143949
"578"	"PNLIPRP1"	0.0888888888888888	Inf	0.633828160143949
"579"	"PNLIPRP2"	0.0888888888888888	Inf	0.633828160143949
"580"	"C10orf82"	1	0	1
"581"	"VAX1"	1	0	1
"582"	"KCNK18"	1	0	1
"583"	"PRLHR"	0.246169560776302	5.5131938040198	1
"584"	"SFXN4"	1	0	1
"585"	"SEC23IP"	1	0	1
"586"	"DMBT1"	0.315487302314114	3.67391382113383	1
"587"	"FANK1"	0.000476676881171262	Inf	0.633828160143949
"588"	"ADAM12"	1	0	1
"589"	"C10orf90"	1	0	1
"590"	"MGMT"	0.170786516853933	10.8909548109933	0.827504134275072
"591"	"EBF3"	0.246169560776302	5.5131938040198	1
"592"	"JAKMIP3"	1	0	1
"593"	"CFAP46"	1	0	1
"594"	"TUBGCP2"	1	0	1
"595"	"ECHS1"	1	0	1
"596"	"MTG1"	1	0	1
"597"	"ANO9"	1	0	1
"598"	"PHRF1"	0.0888888888888888	Inf	0.633828160143949
"599"	"KRTAP5-1"	1	0	1
"600"	"C11orf40"	1	0	1
"601"	"OR52E8"	0.170786516853933	10.8909548109933	0.827504134275072
"602"	"FAM160A2"	1	0	1
"603"	"DCHS1"	1	0	1
"604"	"OR5P2"	0.0888888888888888	Inf	0.633828160143949
"605"	"SBF2"	1	0	1
"606"	"ADM"	0.0607849031751792	8.3592487907847	0.633828160143949
"607"	"SPON1"	1	0	1
"608"	"INSC"	1	0	1
"609"	"SOX6"	1	0	1
"610"	"USH1C"	1	0	1
"611"	"NELL1"	1	0	1
"612"	"SLC17A6"	1	0	1
"613"	"KCNA4"	1	0	1
"614"	"WT1"	1	0	1
"615"	"CCDC73"	1	0	1
"616"	"QSER1"	1	0	1
"617"	"PAMR1"	0.0888888888888888	Inf	0.633828160143949
"618"	"RAG1"	1	0	1
"619"	"LRRC4C"	0.0888888888888888	Inf	0.633828160143949
"620"	"LRP4"	0.0888888888888888	Inf	0.633828160143949
"621"	"OR4S1"	1	0	1
"622"	"OR4C46"	1	0	1
"623"	"OR4C11"	1	0	1
"624"	"OR4C6"	1	0	1
"625"	"OR5D16"	0.0888888888888888	Inf	0.633828160143949
"626"	"OR5W2"	0.0888888888888888	Inf	0.633828160143949
